trial_id,arm_mode,joint_left_shoulder_pitch_target,joint_left_shoulder_roll_target,joint_left_shoulder_yaw_target,joint_left_elbow_target,joint_left_wrist_roll_target,joint_left_wrist_pitch_target,joint_left_wrist_yaw_target,joint_right_shoulder_pitch_target,joint_right_shoulder_roll_target,joint_right_shoulder_yaw_target,joint_right_elbow_target,joint_right_wrist_roll_target,joint_right_wrist_pitch_target,joint_right_wrist_yaw_target,joint_left_shoulder_pitch_kp,joint_left_shoulder_roll_kp,joint_left_shoulder_yaw_kp,joint_left_elbow_kp,joint_left_wrist_roll_kp,joint_left_wrist_pitch_kp,joint_left_wrist_yaw_kp,joint_right_shoulder_pitch_kp,joint_right_shoulder_roll_kp,joint_right_shoulder_yaw_kp,joint_right_elbow_kp,joint_right_wrist_roll_kp,joint_right_wrist_pitch_kp,joint_right_wrist_yaw_kp,joint_left_shoulder_pitch_kd,joint_left_shoulder_roll_kd,joint_left_shoulder_yaw_kd,joint_left_elbow_kd,joint_left_wrist_roll_kd,joint_left_wrist_pitch_kd,joint_left_wrist_yaw_kd,joint_right_shoulder_pitch_kd,joint_right_shoulder_roll_kd,joint_right_shoulder_yaw_kd,joint_right_elbow_kd,joint_right_wrist_roll_kd,joint_right_wrist_pitch_kd,joint_right_wrist_yaw_kd,joint_left_shoulder_pitch_kp_multiplier,joint_left_shoulder_roll_kp_multiplier,joint_left_shoulder_yaw_kp_multiplier,joint_left_elbow_kp_multiplier,joint_left_wrist_roll_kp_multiplier,joint_left_wrist_pitch_kp_multiplier,joint_left_wrist_yaw_kp_multiplier,joint_right_shoulder_pitch_kp_multiplier,joint_right_shoulder_roll_kp_multiplier,joint_right_shoulder_yaw_kp_multiplier,joint_right_elbow_kp_multiplier,joint_right_wrist_roll_kp_multiplier,joint_right_wrist_pitch_kp_multiplier,joint_right_wrist_yaw_kp_multiplier,joint_left_shoulder_pitch_kd_multiplier,joint_left_shoulder_roll_kd_multiplier,joint_left_shoulder_yaw_kd_multiplier,joint_left_elbow_kd_multiplier,joint_left_wrist_roll_kd_multiplier,joint_left_wrist_pitch_kd_multiplier,joint_left_wrist_yaw_kd_multiplier,joint_right_shoulder_pitch_kd_multiplier,joint_right_shoulder_roll_kd_multiplier,joint_right_shoulder_yaw_kd_multiplier,joint_right_elbow_kd_multiplier,joint_right_wrist_roll_kd_multiplier,joint_right_wrist_pitch_kd_multiplier,joint_right_wrist_yaw_kd_multiplier,fell,time_to_fall,max_com_deviation_xy,final_base_height,max_roll_deg,max_pitch_deg
0,both,-1.523093,1.209043,2.778717,2.155608,0.105334,-0.199300,1.008372,-2.032693,-2.170205,2.144397,1.237009,1.525751,0.083939,0.389736,23.9815,22.2412,12.3374,9.8316,13.7431,7.8325,10.6149,42.0766,38.6277,10.2777,15.9326,6.0189,11.5292,14.5535,10.3358,10.2706,3.7535,3.9050,4.4841,3.5238,3.9439,8.1019,7.4638,2.1434,5.8391,1.8090,1.6232,2.2382,0.7994,0.7414,0.8225,0.6554,1.3743,0.7832,1.0615,1.4026,1.2876,0.6852,1.0622,0.6019,1.1529,1.4553,1.2920,1.2838,0.9384,0.9763,1.4947,1.1746,1.3146,1.0127,0.9330,0.5358,1.4598,0.6030,0.5411,0.7461,True,1.7100,0.862199,0.079565,179.7331,89.0713
1,both,-2.831352,1.340346,0.266218,0.340914,-2.716468,-0.359270,-0.293359,-2.854911,-0.760843,-1.836194,0.297556,-0.479836,-0.077136,-1.265782,18.3621,40.8829,7.5185,15.1225,9.8950,8.3309,9.3133,21.8476,24.9221,21.4558,8.2285,9.6077,12.1156,6.5045,10.2446,10.7296,3.0414,3.2900,2.2274,2.9396,3.5498,4.3790,5.1056,5.6753,2.0370,2.0650,1.5939,1.8319,0.6121,1.3628,0.5012,1.0082,0.9895,0.8331,0.9313,0.7283,0.8307,1.4304,0.5486,0.9608,1.2116,0.6505,1.2806,1.3412,0.7603,0.8225,0.7425,0.9799,1.1833,0.5474,0.6382,1.4188,0.5093,0.6883,0.5313,0.6106,True,1.9540,1.110240,0.082336,92.7995,86.2727
2,both,-0.219097,0.533395,0.567432,1.487507,1.882748,-0.458114,0.897558,-0.223949,-2.784830,1.372555,2.583180,-1.285442,0.387384,-0.115678,33.1027,44.5395,12.9230,19.6974,8.1840,12.9921,11.0073,19.9646,36.7555,18.1214,18.5787,8.1715,13.9002,10.9383,5.7308,7.3122,3.2705,2.3124,1.5895,2.5394,1.5571,5.0082,5.1497,4.7724,2.6918,3.0219,4.4753,1.5120,1.1034,1.4846,0.8615,1.3132,0.8184,1.2992,1.1007,0.6655,1.2252,1.2081,1.2386,0.8172,1.3900,1.0938,0.7164,0.9140,0.8176,0.5781,0.5298,0.8465,0.5190,0.6260,0.6437,1.1931,0.6729,1.0073,1.4918,0.5040,True,1.1820,0.823843,0.099665,179.9943,86.6802
3,both,-3.061909,3.373860,0.654902,-0.425862,2.158461,0.351852,0.091949,-0.211360,-2.367352,-2.723553,1.505564,-1.052210,0.151349,0.854063,15.5448,32.8714,10.9692,20.6083,7.5366,11.1077,10.5354,30.4375,15.3741,19.4404,15.3035,9.0796,5.9407,13.8966,7.1693,9.4210,4.9031,4.2678,3.7753,4.4503,2.7578,7.1601,9.4607,2.5975,5.8462,2.0353,2.0986,4.0769,0.5182,1.0957,0.7313,1.3739,0.7537,1.1108,1.0535,1.0146,0.5125,1.2960,1.0202,0.9080,0.5941,1.3897,0.8962,1.1776,1.2258,1.0669,1.2584,1.4834,0.9193,0.8950,1.1826,0.6494,1.4615,0.6784,0.6995,1.3590,True,1.3640,0.940559,0.072797,179.9672,88.1939
4,left_only,1.158265,0.421917,0.003771,2.079334,2.049387,-0.111876,0.043229,0.000000,-0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,37.2515,36.9341,19.2444,16.0490,6.0462,14.0397,13.6557,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,10.3848,4.7989,2.8176,4.9744,1.5694,4.4377,2.6314,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,1.2417,1.2311,1.2830,1.0699,0.6046,1.4040,1.3656,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2981,0.5999,0.7044,1.2436,0.5231,1.4792,0.8771,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,True,1.5780,0.970372,0.081415,179.5328,89.9922
5,right_only,0.000000,0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,0.247962,-0.044981,-0.772448,0.368017,0.756349,0.074915,-0.230784,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,33.0532,43.0614,14.5146,10.4511,8.7721,8.9411,6.3111,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,5.3030,9.4765,3.3579,5.8196,2.2308,1.7968,3.7605,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1018,1.4354,0.9676,0.6967,0.8772,0.8941,0.6311,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6629,1.1846,0.8395,1.4549,0.7436,0.5989,1.2535,False,,0.079166,0.996557,9.2606,14.9546
6,both,1.009680,0.671269,-1.514161,-0.182786,-0.003209,-0.029215,-0.611023,-2.927235,-1.579963,2.429415,1.744904,0.104118,-0.360110,-0.628812,23.8432,37.9441,20.6507,21.0246,14.8457,14.8237,14.5300,31.2709,19.9593,11.2988,9.9047,13.5193,10.8423,12.3513,4.5746,5.1023,3.2179,4.2116,1.7909,4.0374,3.3503,6.3683,6.9700,3.6194,5.0401,3.8171,2.1204,4.3246,0.7948,1.2648,1.3767,1.4016,1.4846,1.4824,1.4530,1.0424,0.6653,0.7533,0.6603,1.3519,1.0842,1.2351,0.5718,0.6378,0.8045,1.0529,0.5970,1.3458,1.1168,0.7960,0.8713,0.9049,1.2600,1.2724,0.7068,1.4415,False,,0.099032,0.998964,10.1226,18.1764
7,left_only,-2.571713,3.007342,-2.090757,0.142549,1.865716,-0.296470,-0.219537,0.000000,-0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,28.4958,22.3578,18.1537,20.2700,13.7458,8.3932,10.3085,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,5.9873,5.9584,2.6450,5.7601,4.1640,3.8321,3.0530,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,0.9499,0.7453,1.2102,1.3513,1.3746,0.8393,1.0309,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7484,0.7448,0.6613,1.4400,1.3880,1.2774,1.0177,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,True,1.4000,0.880206,0.072753,179.9510,89.0248
8,left_only,-0.829237,1.622439,0.382341,0.844746,-2.251092,-0.346261,1.148714,0.000000,-0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,29.4609,43.5962,9.9537,15.8162,7.0772,7.5318,5.3005,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,4.9516,11.3348,3.2861,4.4325,2.8950,2.7014,3.0957,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,0.9820,1.4532,0.6636,1.0544,0.7077,0.7532,0.5301,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6190,1.4168,0.8215,1.1081,0.9650,0.9005,1.0319,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,False,,0.076990,1.000573,10.5634,15.9885
9,both,-2.258105,3.356923,1.979806,2.112869,-0.309946,-0.321089,1.068491,-1.532067,-3.210597,-1.068571,2.331108,0.836802,0.232026,0.745834,21.3586,42.7135,14.0698,17.0852,5.0231,14.9337,7.8090,24.5747,36.7854,14.4165,17.3993,10.9970,9.7278,14.5006,4.4965,7.6661,2.5161,2.6093,3.3968,2.6788,4.2656,6.7417,5.4179,4.7124,5.3840,1.6208,2.8489,4.1775,0.7120,1.4238,0.9380,1.1390,0.5023,1.4934,0.7809,0.8192,1.2262,0.9611,1.1600,1.0997,0.9728,1.4501,0.5621,0.9583,0.6290,0.6523,1.1323,0.8929,1.4219,0.8427,0.6772,1.1781,1.3460,0.5403,0.9496,1.3925,True,2.8680,1.118483,0.084190,100.0098,85.4341
